"TIME","GEO","AGE","SEX","UNIT","Value"
"1972","Albania","From 15 to 64 years","Total","Number",":"
"1972","Albania","65 years or over","Total","Number",":"
"1972","Albania","Unknown","Total","Number",":"
"1972","Serbia","Total","Total","Number",":"
"1972","Serbia","Less than 15 years","Total","Number",":"
"1972","Serbia","From 15 to 64 years","Total","Number",":"
"1972","Serbia","65 years or over","Total","Number",":"
"1972","Serbia","Unknown","Total","Number",":"
"1972","Turkey","Total","Total","Number","36 582 215"
"1972","Turkey","Less than 15 years","Total","Number","15 131 183"
"1972","Turkey","From 15 to 64 years","Total","Number","19 814 625"
"1972","Turkey","65 years or over","Total","Number","1 636 407"
"1972","Turkey","Unknown","Total","Number","0"
"1972","Andorra","Total","Total","Number",":"
"1972","Andorra","Less than 15 years","Total","Number",":"
"1972","Andorra","From 15 to 64 years","Total","Number",":"
"1972","Andorra","65 years or over","Total","Number",":"
"1972","Andorra","Unknown","Total","Number",":"
"1972","Belarus","Total","Total","Number",":"
"1972","Belarus","Less than 15 years","Total","Number",":"
"1972","Belarus","From 15 to 64 years","Total","Number",":"
"1972","Belarus","65 years or over","Total","Number",":"
"1972","Belarus","Unknown","Total","Number",":"
"1972","Bosnia and Herzegovina","Total","Total","Number","3 789 131"
"1972","Bosnia and Herzegovina","Less than 15 years","Total","Number",":"
"1972","Bosnia and Herzegovina","From 15 to 64 years","Total","Number",":"
"1972","Bosnia and Herzegovina","65 years or over","Total","Number",":"
"1972","Bosnia and Herzegovina","Unknown","Total","Number",":"
"1972","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1972","Kosovo (under United Nations Security Council Resolution 1244/99)","Less than 15 years","Total","Number",":"
"1972","Kosovo (under United Nations Security Council Resolution 1244/99)","From 15 to 64 years","Total","Number",":"
"1972","Kosovo (under United Nations Security Council Resolution 1244/99)","65 years or over","Total","Number",":"
"1972","Kosovo (under United Nations Security Council Resolution 1244/99)","Unknown","Total","Number",":"
"1972","Moldova","Total","Total","Number",":"
"1972","Moldova","Less than 15 years","Total","Number",":"
"1972","Moldova","From 15 to 64 years","Total","Number",":"
"1972","Moldova","65 years or over","Total","Number",":"
"1972","Moldova","Unknown","Total","Number",":"
"1972","Monaco","Total","Total","Number",":"
"1972","Monaco","Less than 15 years","Total","Number",":"
"1972","Monaco","From 15 to 64 years","Total","Number",":"
"1972","Monaco","65 years or over","Total","Number",":"
"1972","Monaco","Unknown","Total","Number",":"
"1972","Russia","Total","Total","Number",":"
"1972","Russia","Less than 15 years","Total","Number",":"
"1972","Russia","From 15 to 64 years","Total","Number",":"
"1972","Russia","65 years or over","Total","Number",":"
"1972","Russia","Unknown","Total","Number",":"
"1972","San Marino","Total","Total","Number",":"
"1972","San Marino","Less than 15 years","Total","Number",":"
"1972","San Marino","From 15 to 64 years","Total","Number",":"
"1972","San Marino","65 years or over","Total","Number",":"
"1972","San Marino","Unknown","Total","Number",":"
"1972","Ukraine","Total","Total","Number",":"
"1972","Ukraine","Less than 15 years","Total","Number",":"
"1972","Ukraine","From 15 to 64 years","Total","Number",":"
"1972","Ukraine","65 years or over","Total","Number",":"
"1972","Ukraine","Unknown","Total","Number",":"
"1972","Armenia","Total","Total","Number",":"
"1972","Armenia","Less than 15 years","Total","Number",":"
"1972","Armenia","From 15 to 64 years","Total","Number",":"
"1972","Armenia","65 years or over","Total","Number",":"
"1972","Armenia","Unknown","Total","Number",":"
"1972","Azerbaijan","Total","Total","Number",":"
"1972","Azerbaijan","Less than 15 years","Total","Number",":"
"1972","Azerbaijan","From 15 to 64 years","Total","Number",":"
"1972","Azerbaijan","65 years or over","Total","Number",":"
"1972","Azerbaijan","Unknown","Total","Number",":"
"1972","Georgia","Total","Total","Number",":"
"1972","Georgia","Less than 15 years","Total","Number",":"
"1972","Georgia","From 15 to 64 years","Total","Number",":"
"1972","Georgia","65 years or over","Total","Number",":"
"1972","Georgia","Unknown","Total","Number",":"
"1973","Belgium","Total","Total","Number","9 726 850"
"1973","Belgium","Less than 15 years","Total","Number","2 247 650"
"1973","Belgium","From 15 to 64 years","Total","Number","6 148 744"
"1973","Belgium","65 years or over","Total","Number","1 330 456"
"1973","Belgium","Unknown","Total","Number","0"
"1973","Bulgaria","Total","Total","Number","8 594 493"
"1973","Bulgaria","Less than 15 years","Total","Number","1 918 897"
"1973","Bulgaria","From 15 to 64 years","Total","Number","5 794 951"
"1973","Bulgaria","65 years or over","Total","Number","880 645"
"1973","Bulgaria","Unknown","Total","Number","0"
"1973","Czechia","Total","Total","Number","9 891 302"
"1973","Czechia","Less than 15 years","Total","Number","2 086 057"
"1973","Czechia","From 15 to 64 years","Total","Number","6 554 567"
"1973","Czechia","65 years or over","Total","Number","1 250 678"
"1973","Czechia","Unknown","Total","Number","0"
"1973","Denmark","Total","Total","Number","5 007 538"
"1973","Denmark","Less than 15 years","Total","Number","1 149 603"
"1973","Denmark","From 15 to 64 years","Total","Number","3 218 074"
"1973","Denmark","65 years or over","Total","Number","639 861"
"1973","Denmark","Unknown","Total","Number","0"
"1973","Germany including former GDR","Total","Total","Number","78 820 701"
"1973","Germany including former GDR","Less than 15 years","Total","Number","17 852 552"
"1973","Germany including former GDR","From 15 to 64 years","Total","Number","49 760 735"
"1973","Germany including former GDR","65 years or over","Total","Number","11 207 414"
"1973","Germany including former GDR","Unknown","Total","Number","0"
"1973","Estonia","Total","Total","Number","1 399 637"
"1973","Estonia","Less than 15 years","Total","Number","308 358"
"1973","Estonia","From 15 to 64 years","Total","Number","922 163"
"1973","Estonia","65 years or over","Total","Number","168 136"
"1973","Estonia","Unknown","Total","Number","980"
"1973","Ireland","Total","Total","Number","3 060 800"
"1973","Ireland","Less than 15 years","Total","Number","952 300"
"1973","Ireland","From 15 to 64 years","Total","Number","1 771 400"
"1973","Ireland","65 years or over","Total","Number","337 100"
"1973","Ireland","Unknown","Total","Number","0"
"1973","Greece","Total","Total","Number","8 920 282"
"1973","Greece","Less than 15 years","Total","Number","2 189 847"
"1973","Greece","From 15 to 64 years","Total","Number","5 700 641"
"1973","Greece","65 years or over","Total","Number","1 029 794"
"1973","Greece","Unknown","Total","Number","0"
"1973","Spain","Total","Total","Number","34 800 600"
"1973","Spain","Less than 15 years","Total","Number","9 625 072"
"1973","Spain","From 15 to 64 years","Total","Number","21 717 869"
"1973","Spain","65 years or over","Total","Number","3 457 659"
"1973","Spain","Unknown","Total","Number","0"
"1973","France","Total","Total","Number",":"
"1973","France","Less than 15 years","Total","Number",":"
"1973","France","From 15 to 64 years","Total","Number",":"
"1973","France","65 years or over","Total","Number",":"
"1973","France","Unknown","Total","Number",":"
"1973","France (metropolitan)","Total","Total","Number","51 915 873"
"1973","France (metropolitan)","Less than 15 years","Total","Number","12 730 115"
"1973","France (metropolitan)","From 15 to 64 years","Total","Number","32 361 469"
"1973","France (metropolitan)","65 years or over","Total","Number","6 824 289"
"1973","France (metropolitan)","Unknown","Total","Number","0"
"1973","Croatia","Total","Total","Number","4 459 729"
"1973","Croatia","Less than 15 years","Total","Number",":"
"1973","Croatia","From 15 to 64 years","Total","Number",":"
"1973","Croatia","65 years or over","Total","Number",":"
"1973","Croatia","Unknown","Total","Number",":"
"1973","Italy","Total","Total","Number","54 574 111"
"1973","Italy","Less than 15 years","Total","Number","13 325 741"
"1973","Italy","From 15 to 64 years","Total","Number","34 973 546"
"1973","Italy","65 years or over","Total","Number","6 274 824"
"1973","Italy","Unknown","Total","Number","0"
"1973","Cyprus","Total","Total","Number","631 778"
"1973","Cyprus","Less than 15 years","Total","Number","182 258"
"1973","Cyprus","From 15 to 64 years","Total","Number","389 799"
"1973","Cyprus","65 years or over","Total","Number","59 721"
"1973","Cyprus","Unknown","Total","Number","0"
"1973","Latvia","Total","Total","Number","2 404 995"
"1973","Latvia","Less than 15 years","Total","Number","515 834"
"1973","Latvia","From 15 to 64 years","Total","Number","1 588 935"
"1973","Latvia","65 years or over","Total","Number","300 226"
"1973","Latvia","Unknown","Total","Number","0"
"1973","Lithuania","Total","Total","Number","3 229 598"
"1973","Lithuania","Less than 15 years","Total","Number","852 100"
"1973","Lithuania","From 15 to 64 years","Total","Number","2 032 005"
"1973","Lithuania","65 years or over","Total","Number","345 493"
"1973","Lithuania","Unknown","Total","Number","0"
"1973","Luxembourg","Total","Total","Number","348 200"
"1973","Luxembourg","Less than 15 years","Total","Number","74 210"
"1973","Luxembourg","From 15 to 64 years","Total","Number","229 260"
"1973","Luxembourg","65 years or over","Total","Number","44 730"
"1973","Luxembourg","Unknown","Total","Number","0"
"1973","Hungary","Total","Total","Number","10 415 626"
"1973","Hungary","Less than 15 years","Total","Number","2 082 046"
"1973","Hungary","From 15 to 64 years","Total","Number","7 076 522"
"1973","Hungary","65 years or over","Total","Number","1 257 058"
"1973","Hungary","Unknown","Total","Number","0"
"1973","Malta","Total","Total","Number",":"
"1973","Malta","Less than 15 years","Total","Number",":"
"1973","Malta","From 15 to 64 years","Total","Number",":"
"1973","Malta","65 years or over","Total","Number",":"
"1973","Malta","Unknown","Total","Number",":"
"1973","Netherlands","Total","Total","Number","13 387 623"
"1973","Netherlands","Less than 15 years","Total","Number","3 560 326"
"1973","Netherlands","From 15 to 64 years","Total","Number","8 432 028"
"1973","Netherlands","65 years or over","Total","Number","1 395 269"
"1973","Netherlands","Unknown","Total","Number","0"
"1973","Austria","Total","Total","Number","7 566 469"
"1973","Austria","Less than 15 years","Total","Number","1 820 076"
"1973","Austria","From 15 to 64 years","Total","Number","4 656 467"
"1973","Austria","65 years or over","Total","Number","1 089 926"
"1973","Austria","Unknown","Total","Number","0"
"1973","Poland","Total","Total","Number","33 202 300"
"1973","Poland","Less than 15 years","Total","Number",":"
"1973","Poland","From 15 to 64 years","Total","Number",":"
"1973","Poland","65 years or over","Total","Number",":"
"1973","Poland","Unknown","Total","Number",":"
"1973","Portugal","Total","Total","Number","8 636 600"
"1973","Portugal","Less than 15 years","Total","Number","2 456 530"
"1973","Portugal","From 15 to 64 years","Total","Number","5 340 110"
"1973","Portugal","65 years or over","Total","Number","839 960"
"1973","Portugal","Unknown","Total","Number","0"
"1973","Romania","Total","Total","Number","20 753 972"
"1973","Romania","Less than 15 years","Total","Number","5 244 464"
"1973","Romania","From 15 to 64 years","Total","Number","13 618 187"
"1973","Romania","65 years or over","Total","Number","1 891 321"
"1973","Romania","Unknown","Total","Number","0"
"1973","Slovenia","Total","Total","Number","1 759 584"
"1973","Slovenia","Less than 15 years","Total","Number",":"
"1973","Slovenia","From 15 to 64 years","Total","Number",":"
"1973","Slovenia","65 years or over","Total","Number",":"
"1973","Slovenia","Unknown","Total","Number",":"
"1973","Slovakia","Total","Total","Number","4 618 236"
"1973","Slovakia","Less than 15 years","Total","Number","1 218 463"
"1973","Slovakia","From 15 to 64 years","Total","Number","2 959 189"
"1973","Slovakia","65 years or over","Total","Number","440 584"
"1973","Slovakia","Unknown","Total","Number","0"
"1973","Finland","Total","Total","Number","4 653 401"
"1973","Finland","Less than 15 years","Total","Number","1 075 778"
"1973","Finland","From 15 to 64 years","Total","Number","3 119 467"
"1973","Finland","65 years or over","Total","Number","458 156"
"1973","Finland","Unknown","Total","Number","0"
"1973","Sweden","Total","Total","Number","8 129 161"
"1973","Sweden","Less than 15 years","Total","Number","1 688 577"
"1973","Sweden","From 15 to 64 years","Total","Number","5 273 617"
"1973","Sweden","65 years or over","Total","Number","1 166 967"
"1973","Sweden","Unknown","Total","Number","0"
"1973","United Kingdom","Total","Total","Number","56 159 785"
"1973","United Kingdom","Less than 15 years","Total","Number","13 474 223"
"1973","United Kingdom","From 15 to 64 years","Total","Number","35 090 113"
"1973","United Kingdom","65 years or over","Total","Number","7 595 449"
"1973","United Kingdom","Unknown","Total","Number","0"
"1973","Iceland","Total","Total","Number","210 912"
"1973","Iceland","Less than 15 years","Total","Number","66 169"
"1973","Iceland","From 15 to 64 years","Total","Number","125 839"
"1973","Iceland","65 years or over","Total","Number","18 904"
"1973","Iceland","Unknown","Total","Number","0"
"1973","Liechtenstein","Total","Total","Number","22 414"
"1973","Liechtenstein","Less than 15 years","Total","Number","5 974"
"1973","Liechtenstein","From 15 to 64 years","Total","Number","14 651"
"1973","Liechtenstein","65 years or over","Total","Number","1 789"
"1973","Liechtenstein","Unknown","Total","Number","0"
"1973","Norway","Total","Total","Number","3 948 234"
"1973","Norway","Less than 15 years","Total","Number","956 839"
"1973","Norway","From 15 to 64 years","Total","Number","2 469 524"
"1973","Norway","65 years or over","Total","Number","521 871"
"1973","Norway","Unknown","Total","Number","0"
"1973","Switzerland","Total","Total","Number","6 288 168"
"1973","Switzerland","Less than 15 years","Total","Number","1 468 520"
"1973","Switzerland","From 15 to 64 years","Total","Number","4 072 049"
"1973","Switzerland","65 years or over","Total","Number","747 599"
"1973","Switzerland","Unknown","Total","Number","0"
"1973","Montenegro","Total","Total","Number",":"
"1973","Montenegro","Less than 15 years","Total","Number",":"
"1973","Montenegro","From 15 to 64 years","Total","Number",":"
"1973","Montenegro","65 years or over","Total","Number",":"
"1973","Montenegro","Unknown","Total","Number",":"
"1973","North Macedonia","Total","Total","Number","1 692 113"
"1973","North Macedonia","Less than 15 years","Total","Number",":"
"1973","North Macedonia","From 15 to 64 years","Total","Number",":"
"1973","North Macedonia","65 years or over","Total","Number",":"
"1973","North Macedonia","Unknown","Total","Number",":"
"1973","Albania","Total","Total","Number","2 270 891"
"1973","Albania","Less than 15 years","Total","Number",":"
"1973","Albania","From 15 to 64 years","Total","Number",":"
"1973","Albania","65 years or over","Total","Number",":"
"1973","Albania","Unknown","Total","Number",":"
"1973","Serbia","Total","Total","Number",":"
"1973","Serbia","Less than 15 years","Total","Number",":"
"1973","Serbia","From 15 to 64 years","Total","Number",":"
"1973","Serbia","65 years or over","Total","Number",":"
"1973","Serbia","Unknown","Total","Number",":"
"1973","Turkey","Total","Total","Number","37 508 880"
"1973","Turkey","Less than 15 years","Total","Number","15 420 852"
"1973","Turkey","From 15 to 64 years","Total","Number","20 394 814"
"1973","Turkey","65 years or over","Total","Number","1 693 214"
"1973","Turkey","Unknown","Total","Number","0"
"1973","Andorra","Total","Total","Number",":"
"1973","Andorra","Less than 15 years","Total","Number",":"
"1973","Andorra","From 15 to 64 years","Total","Number",":"
"1973","Andorra","65 years or over","Total","Number",":"
"1973","Andorra","Unknown","Total","Number",":"
"1973","Belarus","Total","Total","Number",":"
"1973","Belarus","Less than 15 years","Total","Number",":"
"1973","Belarus","From 15 to 64 years","Total","Number",":"
"1973","Belarus","65 years or over","Total","Number",":"
"1973","Belarus","Unknown","Total","Number",":"
"1973","Bosnia and Herzegovina","Total","Total","Number","3 845 048"
"1973","Bosnia and Herzegovina","Less than 15 years","Total","Number",":"
"1973","Bosnia and Herzegovina","From 15 to 64 years","Total","Number",":"
"1973","Bosnia and Herzegovina","65 years or over","Total","Number",":"
"1973","Bosnia and Herzegovina","Unknown","Total","Number",":"
"1973","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1973","Kosovo (under United Nations Security Council Resolution 1244/99)","Less than 15 years","Total","Number",":"
"1973","Kosovo (under United Nations Security Council Resolution 1244/99)","From 15 to 64 years","Total","Number",":"
"1973","Kosovo (under United Nations Security Council Resolution 1244/99)","65 years or over","Total","Number",":"
"1973","Kosovo (under United Nations Security Council Resolution 1244/99)","Unknown","Total","Number",":"
"1973","Moldova","Total","Total","Number",":"
"1973","Moldova","Less than 15 years","Total","Number",":"
"1973","Moldova","From 15 to 64 years","Total","Number",":"
"1973","Moldova","65 years or over","Total","Number",":"
"1973","Moldova","Unknown","Total","Number",":"
"1973","Monaco","Total","Total","Number",":"
"1973","Monaco","Less than 15 years","Total","Number",":"
"1973","Monaco","From 15 to 64 years","Total","Number",":"
"1973","Monaco","65 years or over","Total","Number",":"
"1973","Monaco","Unknown","Total","Number",":"
"1973","Russia","Total","Total","Number",":"
"1973","Russia","Less than 15 years","Total","Number",":"
"1973","Russia","From 15 to 64 years","Total","Number",":"
"1973","Russia","65 years or over","Total","Number",":"
"1973","Russia","Unknown","Total","Number",":"
"1973","San Marino","Total","Total","Number",":"
"1973","San Marino","Less than 15 years","Total","Number",":"
"1973","San Marino","From 15 to 64 years","Total","Number",":"
"1973","San Marino","65 years or over","Total","Number",":"
"1973","San Marino","Unknown","Total","Number",":"
"1973","Ukraine","Total","Total","Number",":"
"1973","Ukraine","Less than 15 years","Total","Number",":"
"1973","Ukraine","From 15 to 64 years","Total","Number",":"
"1973","Ukraine","65 years or over","Total","Number",":"
"1973","Ukraine","Unknown","Total","Number",":"
"1973","Armenia","Total","Total","Number",":"
"1973","Armenia","Less than 15 years","Total","Number",":"
"1973","Armenia","From 15 to 64 years","Total","Number",":"
"1973","Armenia","65 years or over","Total","Number",":"
"1973","Armenia","Unknown","Total","Number",":"
"1973","Azerbaijan","Total","Total","Number",":"
"1973","Azerbaijan","Less than 15 years","Total","Number",":"
"1973","Azerbaijan","From 15 to 64 years","Total","Number",":"
"1973","Azerbaijan","65 years or over","Total","Number",":"
"1973","Azerbaijan","Unknown","Total","Number",":"
"1973","Georgia","Total","Total","Number",":"
"1973","Georgia","Less than 15 years","Total","Number",":"
"1973","Georgia","From 15 to 64 years","Total","Number",":"
"1973","Georgia","65 years or over","Total","Number",":"
"1973","Georgia","Unknown","Total","Number",":"
"1974","Belgium","Total","Total","Number","9 756 590"
"1974","Belgium","Less than 15 years","Total","Number","2 227 297"
"1974","Belgium","From 15 to 64 years","Total","Number","6 182 804"
"1974","Belgium","65 years or over","Total","Number","1 346 489"
"1974","Belgium","Unknown","Total","Number","0"
"1974","Bulgaria","Total","Total","Number","8 647 440"
"1974","Bulgaria","Less than 15 years","Total","Number","1 922 431"
"1974","Bulgaria","From 15 to 64 years","Total","Number","5 817 467"
"1974","Bulgaria","65 years or over","Total","Number","907 542"
"1974","Bulgaria","Unknown","Total","Number","0"
"1974","Czechia","Total","Total","Number","9 953 230"
"1974","Czechia","Less than 15 years","Total","Number","2 126 416"
"1974","Czechia","From 15 to 64 years","Total","Number","6 549 512"
"1974","Czechia","65 years or over","Total","Number","1 277 302"
"1974","Czechia","Unknown","Total","Number","0"
"1974","Denmark","Total","Total","Number","5 036 184"
"1974","Denmark","Less than 15 years","Total","Number","1 148 454"
"1974","Denmark","From 15 to 64 years","Total","Number","3 232 754"
"1974","Denmark","65 years or over","Total","Number","654 976"
"1974","Denmark","Unknown","Total","Number","0"
"1974","Germany including former GDR","Total","Total","Number","79 052 630"
"1974","Germany including former GDR","Less than 15 years","Total","Number","17 556 741"
"1974","Germany including former GDR","From 15 to 64 years","Total","Number","50 085 027"
"1974","Germany including former GDR","65 years or over","Total","Number","11 410 862"
"1974","Germany including former GDR","Unknown","Total","Number","0"
"1974","Estonia","Total","Total","Number","1 412 265"
"1974","Estonia","Less than 15 years","Total","Number","309 661"
"1974","Estonia","From 15 to 64 years","Total","Number","930 788"
"1974","Estonia","65 years or over","Total","Number","170 945"
"1974","Estonia","Unknown","Total","Number","871"
"1974","Ireland","Total","Total","Number","3 111 100"
"1974","Ireland","Less than 15 years","Total","Number","965 400"
"1974","Ireland","From 15 to 64 years","Total","Number","1 804 700"
"1974","Ireland","65 years or over","Total","Number","341 000"
"1974","Ireland","Unknown","Total","Number","0"
"1974","Greece","Total","Total","Number","8 937 890"
"1974","Greece","Less than 15 years","Total","Number","2 172 303"
"1974","Greece","From 15 to 64 years","Total","Number","5 707 925"
"1974","Greece","65 years or over","Total","Number","1 057 662"
"1974","Greece","Unknown","Total","Number","0"
"1974","Spain","Total","Total","Number","35 177 294"
"1974","Spain","Less than 15 years","Total","Number","9 685 503"
"1974","Spain","From 15 to 64 years","Total","Number","21 948 078"
"1974","Spain","65 years or over","Total","Number","3 543 713"
"1974","Spain","Unknown","Total","Number","0"
"1974","France","Total","Total","Number",":"
"1974","France","Less than 15 years","Total","Number",":"
"1974","France","From 15 to 64 years","Total","Number",":"
"1974","France","65 years or over","Total","Number",":"
"1974","France","Unknown","Total","Number",":"
"1974","France (metropolitan)","Total","Total","Number","52 320 725"
"1974","France (metropolitan)","Less than 15 years","Total","Number","12 739 810"
"1974","France (metropolitan)","From 15 to 64 years","Total","Number","32 642 808"
"1974","France (metropolitan)","65 years or over","Total","Number","6 938 107"
"1974","France (metropolitan)","Unknown","Total","Number","0"
"1974","Croatia","Total","Total","Number","4 480 592"
"1974","Croatia","Less than 15 years","Total","Number",":"
"1974","Croatia","From 15 to 64 years","Total","Number",":"
"1974","Croatia","65 years or over","Total","Number",":"
"1974","Croatia","Unknown","Total","Number",":"
"1974","Italy","Total","Total","Number","54 928 700"
"1974","Italy","Less than 15 years","Total","Number","13 406 241"
"1974","Italy","From 15 to 64 years","Total","Number","35 084 860"
"1974","Italy","65 years or over","Total","Number","6 437 599"
"1974","Italy","Unknown","Total","Number","0"
"1974","Cyprus","Total","Total","Number","637 800"
"1974","Cyprus","Less than 15 years","Total","Number",":"
"1974","Cyprus","From 15 to 64 years","Total","Number",":"
"1974","Cyprus","65 years or over","Total","Number",":"
"1974","Cyprus","Unknown","Total","Number",":"
"1974","Latvia","Total","Total","Number","2 426 642"
"1974","Latvia","Less than 15 years","Total","Number","515 651"
"1974","Latvia","From 15 to 64 years","Total","Number","1 605 324"
"1974","Latvia","65 years or over","Total","Number","305 667"
"1974","Latvia","Unknown","Total","Number","0"
"1974","Lithuania","Total","Total","Number","3 259 277"
"1974","Lithuania","Less than 15 years","Total","Number","845 181"
"1974","Lithuania","From 15 to 64 years","Total","Number","2 055 488"
"1974","Lithuania","65 years or over","Total","Number","358 608"
"1974","Lithuania","Unknown","Total","Number","0"
"1974","Luxembourg","Total","Total","Number","352 700"
"1974","Luxembourg","Less than 15 years","Total","Number","73 298"
"1974","Luxembourg","From 15 to 64 years","Total","Number","233 741"
"1974","Luxembourg","65 years or over","Total","Number","45 661"
"1974","Luxembourg","Unknown","Total","Number","0"
"1974","Hungary","Total","Total","Number","10 448 484"
"1974","Hungary","Less than 15 years","Total","Number","2 082 494"
"1974","Hungary","From 15 to 64 years","Total","Number","7 079 580"
"1974","Hungary","65 years or over","Total","Number","1 286 410"
"1974","Hungary","Unknown","Total","Number","0"
"1974","Malta","Total","Total","Number",":"
"1974","Malta","Less than 15 years","Total","Number",":"
"1974","Malta","From 15 to 64 years","Total","Number",":"
"1974","Malta","65 years or over","Total","Number",":"
"1974","Malta","Unknown","Total","Number",":"
"1974","Netherlands","Total","Total","Number","13 491 020"
"1974","Netherlands","Less than 15 years","Total","Number","3 527 292"
"1974","Netherlands","From 15 to 64 years","Total","Number","8 537 437"
"1974","Netherlands","65 years or over","Total","Number","1 426 291"
"1974","Netherlands","Unknown","Total","Number","0"
"1974","Austria","Total","Total","Number","7 605 760"
"1974","Austria","Less than 15 years","Total","Number","1 805 845"
"1974","Austria","From 15 to 64 years","Total","Number","4 693 834"
"1974","Austria","65 years or over","Total","Number","1 106 081"
"1974","Austria","Unknown","Total","Number","0"
"1974","Poland","Total","Total","Number","33 512 100"
"1974","Poland","Less than 15 years","Total","Number",":"
"1974","Poland","From 15 to 64 years","Total","Number",":"
"1974","Poland","65 years or over","Total","Number",":"
"1974","Poland","Unknown","Total","Number",":"
"1974","Portugal","Total","Total","Number","8 629 600"
"1974","Portugal","Less than 15 years","Total","Number","2 429 500"
"1974","Portugal","From 15 to 64 years","Total","Number","5 358 430"
"1974","Portugal","65 years or over","Total","Number","841 670"
"1974","Portugal","Unknown","Total","Number","0"
"1974","Romania","Total","Total","Number","20 917 390"
"1974","Romania","Less than 15 years","Total","Number","5 248 162"
"1974","Romania","From 15 to 64 years","Total","Number","13 727 273"
"1974","Romania","65 years or over","Total","Number","1 941 955"
"1974","Romania","Unknown","Total","Number","0"
"1974","Slovenia","Total","Total","Number","1 773 809"
"1974","Slovenia","Less than 15 years","Total","Number",":"
"1974","Slovenia","From 15 to 64 years","Total","Number",":"
"1974","Slovenia","65 years or over","Total","Number",":"
"1974","Slovenia","Unknown","Total","Number",":"
"1974","Slovakia","Total","Total","Number","4 664 653"
"1974","Slovakia","Less than 15 years","Total","Number","1 219 384"
"1974","Slovakia","From 15 to 64 years","Total","Number","2 990 611"
"1974","Slovakia","65 years or over","Total","Number","454 658"
"1974","Slovakia","Unknown","Total","Number","0"
"1974","Finland","Total","Total","Number","4 678 761"
"1974","Finland","Less than 15 years","Total","Number","1 058 250"
"1974","Finland","From 15 to 64 years","Total","Number","3 146 013"
"1974","Finland","65 years or over","Total","Number","474 498"
"1974","Finland","Unknown","Total","Number","0"
"1974","Sweden","Total","Total","Number","8 143 463"
"1974","Sweden","Less than 15 years","Total","Number","1 688 348"
"1974","Sweden","From 15 to 64 years","Total","Number","5 260 099"
"1974","Sweden","65 years or over","Total","Number","1 195 016"
"1974","Sweden","Unknown","Total","Number","0"
"1974","United Kingdom","Total","Total","Number","56 229 268"
"1974","United Kingdom","Less than 15 years","Total","Number","13 387 758"
"1974","United Kingdom","From 15 to 64 years","Total","Number","35 120 145"
"1974","United Kingdom","65 years or over","Total","Number","7 721 365"
"1974","United Kingdom","Unknown","Total","Number","0"
"1974","Iceland","Total","Total","Number","213 722"
"1974","Iceland","Less than 15 years","Total","Number","66 198"
"1974","Iceland","From 15 to 64 years","Total","Number","128 222"
"1974","Iceland","65 years or over","Total","Number","19 302"
"1974","Iceland","Unknown","Total","Number","0"
"1974","Liechtenstein","Total","Total","Number","23 156"
"1974","Liechtenstein","Less than 15 years","Total","Number","6 074"
"1974","Liechtenstein","From 15 to 64 years","Total","Number","15 231"
"1974","Liechtenstein","65 years or over","Total","Number","1 851"
"1974","Liechtenstein","Unknown","Total","Number","0"
"1974","Norway","Total","Total","Number","3 972 990"
"1974","Norway","Less than 15 years","Total","Number","956 794"
"1974","Norway","From 15 to 64 years","Total","Number","2 484 563"
"1974","Norway","65 years or over","Total","Number","531 633"
"1974","Norway","Unknown","Total","Number","0"
"1974","Switzerland","Total","Total","Number","6 326 525"
"1974","Switzerland","Less than 15 years","Total","Number","1 456 237"
"1974","Switzerland","From 15 to 64 years","Total","Number","4 102 278"
"1974","Switzerland","65 years or over","Total","Number","768 010"
"1974","Switzerland","Unknown","Total","Number","0"
"1974","Montenegro","Total","Total","Number",":"
"1974","Montenegro","Less than 15 years","Total","Number",":"
"1974","Montenegro","From 15 to 64 years","Total","Number",":"
"1974","Montenegro","65 years or over","Total","Number",":"
"1974","Montenegro","Unknown","Total","Number",":"
"1974","North Macedonia","Total","Total","Number","1 717 090"
"1974","North Macedonia","Less than 15 years","Total","Number",":"
"1974","North Macedonia","From 15 to 64 years","Total","Number",":"
"1974","North Macedonia","65 years or over","Total","Number",":"
"1974","North Macedonia","Unknown","Total","Number",":"
"1974","Albania","Total","Total","Number","2 322 613"
"1974","Albania","Less than 15 years","Total","Number",":"
"1974","Albania","From 15 to 64 years","Total","Number",":"
"1974","Albania","65 years or over","Total","Number",":"
"1974","Albania","Unknown","Total","Number",":"
"1974","Serbia","Total","Total","Number",":"
"1974","Serbia","Less than 15 years","Total","Number",":"
"1974","Serbia","From 15 to 64 years","Total","Number",":"
"1974","Serbia","65 years or over","Total","Number",":"
"1974","Serbia","Unknown","Total","Number",":"
"1974","Turkey","Total","Total","Number","38 490 106"
"1974","Turkey","Less than 15 years","Total","Number","15 720 174"
"1974","Turkey","From 15 to 64 years","Total","Number","21 015 766"
"1974","Turkey","65 years or over","Total","Number","1 754 166"
"1974","Turkey","Unknown","Total","Number","0"
"1974","Andorra","Total","Total","Number",":"
"1974","Andorra","Less than 15 years","Total","Number",":"
"1974","Andorra","From 15 to 64 years","Total","Number",":"
"1974","Andorra","65 years or over","Total","Number",":"
"1974","Andorra","Unknown","Total","Number",":"
"1974","Belarus","Total","Total","Number",":"
